Unnamed: 0,recipe_number,recipe_code,recipe_name,comment_id,user_id,user_name,user_reputation,created_at,reply_count,thumbs_up,thumbs_down,stars,best_score,text
0,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_2G3aneMRgRMZwXqIHmSdXSG1hEM,u_9iFLIhMa8QaG,Jeri326,1,1665619889,0,0,0,5,527,"I tweaked it a little, removed onions because of onion haters in my house, used Italian seasoning instead of just oregano, and use a paprika/ cayenne mix and a little more than the recipe called for.. we like everything a bit more hot. The chili was amazing! It was easy to make and everyone absolutely loved it. It will now be a staple meal in our house."
1,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_2FsPC83HtzCsQAtOxlbL6RcaPbY,u_Lu6p25tmE77j,Mark467,50,1665277687,0,7,0,5,724,"Bush used to have a white chili bean and it made this recipe super simple. I’ve written to them and asked them to please!, bring them back"
2,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_2FPrSGyTv7PQkZq37j92r9mYGkP,u_s0LwgpZ8Jsqq,Barbara566,10,1664404557,0,3,0,5,710,"I have a very complicated white chicken chili recipe that I have made for years. Everyone raves over it. I saw this recipe and thought I’d try it as an easy alternative for weeknights. My husband likes this recipe better! Super easy and delicious! I did cut back slightly on the crushed oregano and cayenne pepper, otherwise I made it exactly as written."
3,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_2DzdSIgV9qNiuBaLoZ7JQaartoC,u_fqrybAdYjgjG,jeansch123,1,1661787808,2,2,0,0,581,"In your introduction, you mentioned cream cheese but there is none listed in the ingredients!"
4,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_2DtZJuRQYeTFwXBoZRfRhBPEXjI,u_XXWKwVhKZD69,camper77,10,1664913823,1,7,0,0,820,Wonderful! I made this for a &#34;Chili/Stew&#34; night dinner at our church and everyone wanted the recipe.  We make it quite often at home and it&#39;s always a hit. I also use a freshly made rotisserie chicken which adds to the flavor.
5,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_2Do918IutExN0pWEOFMU4cbiT8v,u_BALTQJIvWtYr,nikhita,1,1661354351,0,3,1,5,518,amazing! my boyfriend loved it so much! going to make it again this week!
6,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_24hhcbywpsgGqG7yeDFH1IPZCb8,u_HuJVXMzQqJoI,Sandy1256,1,1644088805,0,11,0,5,833,"Wow!!!  This recipe is excellent as written!!  The only change I made was that I used a 40 oz. jar of great northern beans.  It tastes so good, with just the right amount of heat!!!"
7,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_24cuIEu6UoJvd5VRMAoqnTPR9wd,u_uj79hCc4xVhm,Towanka,1,1643942114,0,28,2,0,891,"This is delicious and I make it often. One such time was when our daughter, her husband and their two sons  were visiting us from Virginia. I made a double batch and served it for dinner one evening and it really made a hit. Since there was a small amount left I put the leftover in the refrigerator. I walked into the kitchen the next morning to see our son in law with a big bowl of it headed for the microwave, which puzzled me. He gave me a big smile and told me it was the first thing he thought of when he woke up that morning and that was his breakfast. I give this soup 5 stars!"
8,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_24cc4VZR87RR5vdkYAnsnq6YaOS,u_xDTU4BqIVIc9,Quest,1,1643933124,0,6,0,5,693,"I absolutely love this recipe. I&#39;ve tweaked it quite a bit. When I want a spicier chili, I exchange the green chilis for canned diced jalapenos. It&#39;s SO GOOD that way. I also add an extra 4oz can of green chilis/diced jalapenos to it every time I make it. It does not double well, but have made 1.5 times the recipe and it&#39;s great for extra large crowds/plenty of leftovers. It&#39;s a great snow day recipe, I&#39;ve made it 3 times these past 2 weeks!"
9,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_24Fso1ApihQ91uCmNvhBDDO1k2P,u_cDoX9ujcQEoc,Susannah953,1,1643237839,0,0,0,5,404,I make this a lot … my kids and there friends come over and ask me to make this all the time ..
10,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_24CHX0TVqhA9SivP1tam6CXh8j5,u_a1kMC63ejmcn,jillanglemyer810,1,1643127683,0,3,0,5,706,Best and easiest white chili recipe.
11,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_244ayUAqmLa9HURYpjXxAQCSPt0,u_rLDRFmNx35zU,Leslie126,1,1642892566,0,2,1,5,617,"Best white chili recipe I&#39;ve had! I served it up with Fritos, sharp cheddar, sour cream, and chopped green onions. Delish!"
12,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_23myjWRG0SSgODziT76nAoXVMFf,u_lPW6uyGJNSN0,Cindy4876,1,1642353692,0,1,0,5,633,"This recipe was excellent!! I added the cream cheese and it was the perfect comfort food. I usually make individual portions and freeze it, but this was eaten everyday for 3 days. Exceptional!"
13,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_23hew17f9HfA1oRd8VozLDaxUsa,u_EXBl66u7yYkp,Xzercie,1,1645506015,0,4,2,5,672,"I made this alongside a traditional chili for a winter gathering and this chili stole the show. I was expecting leftovers for additional meals during the week, but nope, no leftovers. It’s mild, but there’s always ways to spice it up if that’s your preference.  If you’re thinking about it, just do it!  It’s easy, fast, warming, and delicious. Oh, and might as well double it. I did."
14,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_23WqtSRlqxKmvHp4xbsD9zNMIPd,u_tOkZoHuF5wQW,TERESA062,1,1641956093,0,5,1,5,585,"Fantastic, but mild. I added half a Carolina Reaper. Delish! The hubby  said he detested white chili. As this was simmering, hubby said &#34;Boy, that sure smells great! When do we eat?&#34; He asked me to make more to freeze for later. LOL!"
15,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_23Vi81AY4vz93vga2QKFIXzVyQ9,u_pTdidnO4Qvj9,Mary-Lynne,1,1641825491,0,1,0,5,608,This is a fabulous recipe!
16,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_23Nduv3AAGtX0cmKaxLpQIOtGQz,u_zSpLgUzFZKjk,Petri,1,1641578704,0,0,0,4,449,"Delicious, If you like a mild chilli taste this is for you!😍 really would recommend making it!"
17,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_21bPbjHfpjkRMvMnaaaRcgeCqBD,u_DAo1aayKpI6d,Marilyn034,1,1638206887,0,3,0,5,637,"made according to directions, DELISH!!!!"
18,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_21EzLhl4PhZN6cZMX6WBgleYgfb,u_YTq5zXIY38wL,Jeannette653,1,1637520980,0,3,0,5,602,My new favorite soup! Oh my! So delicious!
19,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_21COxu6lQy4mVUfo0e4uTZ3CeiA,u_xwWa3ShkvfPQ,Scott967,1,1637441853,1,11,1,5,820,"This is a hit in my house. I have been making it for a few years now.  I typically  double the recipe as written, adding only a can or two of sweet corn.  We always eat this with jiffy cornbread. Absolutely a favorite."
20,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_20HIfMEUR4vjBklhgkRbBe2PULd,u_jAZf8u0DcVIY,Jane601,1,1635695189,0,6,1,5,673,"Delicious!!!   A huge hit with family and friends.  Several requests to make again.  And share recipe!!! 
Thank you!!!!"
21,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_1zVXg73HxKzPyRnHhWnLjRWSfUz,u_233rxDaYVN0g,Brenda349,1,1634234362,0,7,0,5,793,This is our go-to chicken chili recipe and has been for years. We love it and it&#39;s so simple.
22,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_1z15nE2Ee6anVDFLfmOW1FjbyeR,u_wYANTnDQZ8Ud,Sandy326,1,1633371450,2,5,5,5,650,Very good!! Easy recipe … first time followed exactly but I added flour to chicken and onion mixture to help thicken and did not add cream cheese. Made a second time with no mild chilies and only a few shakes of cayenne and it was still good! Liked it less spicy! But will make again! Other in family liked it too!
23,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_1vFabyuTl4d81ivTsJDdxKOnb0c,u_PbmqE1O8NisP,Carole368,1,1626160365,1,5,29,0,530,This is just White Chicken Chili with I first experinced eating at at local restaurant in Indianapolis which was recommended to me by the waiter. It&#39;s delicious! But that is what it is called - White Chicken Chili.
24,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_1s3CMHvWubnpTd45lmoBC8c0X3X,u_Ql2KDKx6gJCZ,Kimosaabe,1,1620091837,0,15,1,5,786,WOW! Total WOW! Totally delicious. 5 stars plus.
25,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_432402,u_1tOHulxur36Qa3Syd86jfXIlyVh,OliveCorn,0,1622648873,0,16,5,5,347,Wonderful recipe as written! Only change I made was I used rotisserie chicken because I always have it on hand in my freezer as a time saver. Even my husband who said chili can&#39;t be white said to make sure to keep this recipe!  Thanks Laura for making him a believer!
26,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_432389,u_1oKdEIiXn8FQOeAMtgAGCRMIDur,LindaHernandez,1,1622648873,0,17,1,5,433,"I make this for my son-in-law for when he has to work cold winter nights in Michigan.  He loves it!  Instead of green chiles, I changed to Hatch Green Chiles to give it a little kick.  You can use as much or as little depending on how you like it."
27,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_432496,u_1oKVZT7bnHOk8MH7Aom0wkTCJNo,ahmom,1,1622648873,0,4,0,5,329,EXCELLENT RECIPE!! This will be on regular rotation.
28,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_432393,u_1tOHuffz9O9dMHnRmMVpX92GMtm,BlueBattery,0,1622648873,0,19,5,5,367,"I don&#39;t change a thing in this recipe, it&#39;sperfect as directed.  I found it in my Taste of Home cookbook years ago and have been making it ever since. I don&#39;t even look for other recipes because why mess with perfection.  I was just diagnosed with gluten intolerance and thankfully this recipe is.     *** my ex-husband would not eat chicken so my son made it with pork (also delicious). He still used chicken stock but the ex didn&#39;t know that!   ***"
29,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_429116,u_1oKdQHNslBwfe7Rqe9Sg1ihg9Fs,Sue,1,1622648882,0,3,0,0,297,I would make this soup again.  It was a hit.  I would only add 1 can of green chilis when I make it again.  The leftovers were pretty hot.
30,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_429115,u_1oKdQGq8TWLSKfrv2CQY9SglFUu,Debi,1,1622648882,0,6,0,5,374,"This was absolutely DELICIOUS! It was my first time making chili, and I loved it.  It turned out a lot more soupy than I expected,  and I even mashed up a cup of the beans like the recipe said.  I think next time I make this, I won&#39;t add the cream to see 9f that makes thicker. But is super yummy, even if it is more of a soup/stew. ? Yummm!"
31,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_429113,u_1oKVr0FIiKTNe84vUuYXGEKMHfD,gooch621,1,1622648882,0,3,0,5,297,Outstanding just the way it is!
32,1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_401167,u_1oKcp740PH3N4t4jHkvgTvDJIsq,Patricia,1,1622718321,0,8,6,5,246,I’ve made this chili for several years and follow the recipe as written. I use chicken tenderloins and heavy cream and sour cream.  “If it’s not broken don’t fix it”.  It’s the perfect comfort food on a cold day!  The tortilla chips go perfectly and a grilled cheese on the side doesn’t hurt either  (especially if made with home made pimento cheese)!
