Unnamed: 0,recipe_number,recipe_code,recipe_name,comment_id,user_id,user_name,user_reputation,created_at,reply_count,thumbs_up,thumbs_down,stars,best_score,text
0,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_2CjcFo3L3KCigLPsIWSFAhiX8mE,u_P9gZcnQv6DoS,Amy316,10,1659319333,0,0,0,5,504,A hit with my family.  Easy to make.  Moist with a great banana flavor. Cream cheese frosting compliments it so well.
1,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_29qsr8NbRf6y4Zxj7u85XvcItsn,u_ZvRwjvOokuVF,tkuehl,20,1653852145,0,4,1,5,701,"I made this recipe for church snacks today, and it was a hit. Very easy, and a nice change from banana bread for those bananas that are getting ripe. The combination of bananas and sour cream make for a very moist cake. I agree with the other reviews, with the cream cheese frosting being the perfect topping. I will make this recipe again."
2,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_28DPrMXIkB8q6RfNRcTneyfvmVG,u_ZvRwjvOokuVF,tkuehl,10,1650748380,0,0,0,5,527,"I love this recipe as a switch up for using ripe bananas. The combination of the butter, sour cream and banana make for a very moist dessert. Cream cheese frosting is the perfect topping. A keeper!"
3,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_27DLhjQpBqpPEhXlB412pj1dGDK,u_eCzDpg7zv31F,lvarner,50,1649702360,0,4,1,4,694,"These were really good! I love the combination of bananas and cream cheese, so I knew that I would like these and yes - I certainly did! I prefer a bit more texture, so I added some chopped walnuts to the bars and they turned out great that way."
4,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_432323,u_1tOHuoHsIKxNgRRS2s1MxNt9jg6,GoldApple,0,1622648873,0,2,2,5,167,"Just made these banana bars for Easter. They were delicious, I added a half banana to the icing. I wasn&#39;t sure if the banana would turn the icing a weird color or texture but it turned out great. Next time I will add an entire banana. My icing was a little sticky (meaning it came off a little on the cellophane when transporting it), I&#39;m guessing I could have added more confectioners sugar, but it just seemed like a &#34;ton&#34; of sugar. Regardless, it was great! Next time I will also add the 2 T. of whipping cream as mentioned below. Thanks for the recipe!"
5,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_432424,u_1tOHxBo3uN098tBMsfqRbEcszzw,Theresa,1,1622648893,0,2,4,5,143,"Yes, this is an EXCELLENT recipe, and I&#39;ve already added it to my computer recipe book.    It is quick, easy and delicious.   I made my cake, froze it, and when I was ready to use it, I thawed and then iced it.   I shared it my my sewing group and they all loved it.   A few pieces of walnuts sprinkled on each piece was a great addition for those who like nuts.    kbbradford&#39;s review (below this one) has a great hint....add the 2 T. whipping cream to the frosting, because it does make a wonderfully smooth and creamy frosting and it is oh so easy to spread."
6,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_417251,u_1oKXYDMcVZ5f2fqeOyOwdrqLvpJ,kbbradford,1,1622718446,0,9,5,5,274,"This is an excellent recipe that I will forever have on hand. Made this a second time an added fresh cooked apples, nuts and minced dried apricots. Also used a cream cheese icing tip that I ALWAYS use (added 2 T. Whipping cream) after cream cheese is beaten Tillis smooth. This makes the softest, spreadable frosting ever. I shared slices with friends and everyone raves on the moist and tasty cake."
7,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_395541,u_1oKc2Sb9ynQB0Bvt19htiSjpLqB,StephanieGaida,1,1622718308,0,2,0,5,253,"I made these for a party and everyone asked for the recipe. I actually made them ahead of time, froze them and frosted them the day of the party. Very moist, the flavor and texture were excellent and they’re not too sweet."
8,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_423834,u_1oKdDJ85DqtVMBXY40z1NUHweit,Tamara777,1,1622718469,0,6,0,5,374,Very good. I make it in a 9x13 and serve as a cake. It’s become a family favorite for birthdays!
9,71,12259,Banana Bars with Cream Cheese Frosting,sp_aUSaElGf_12259_c_411099,u_1oKbEXVZqDYcd42NBTf1R1QGbCI,wendyfitzgerald,1,1622718375,0,0,2,5,100,"So good.  I know I&#39;m leaving this rating awfully late, but I made this up as a dessert for Christmas.   And there was none left at the end of the day.  So good!"
